publisherName,title,releaseDateUtc,supportUris
INTEL CORP,Центр управления графикой Intel®,2018-11-26T18:04:07.0184801Z,https://www.intel.com/content/www/us/en/support/articles/000032768/graphics-drivers.html
NG PDF Lab,"PDF X: Редактирование PDF, Просмотр PDF",2019-09-24T08:56:25.7804899Z,
Microsoft Corporation,Power BI Desktop,2017-09-25T12:00:00Z,http://support.powerbi.com
Slack Technologies Inc.,Slack,2014-09-25T21:45:12.793Z,https://get.slack.help/hc/en-us
Citrix,Citrix Workspace,2012-11-08T03:21:14.2700013Z,http://forums.citrix.com
Microsoft Corporation,Корпоративный портал,2012-12-17T00:00:00Z,http://go.microsoft.com/fwlink/?LinkId=273866
Any DVD & Office App,Neat Office - Docs & PDF App,2019-04-02T05:56:14.6774054Z,
PDF reader apps,PDF Reader ELF: Редактор PDF,2021-03-26T15:00:59.5684898Z,
"Zoom Video Communications, Inc.",Zoom Rooms,2017-11-10T18:49:15.4223047Z,https://support.zoom.us/
"AnywaySoft, Inc.",PDF Merger & Splitter,2019-10-16T08:32:38.007639Z,mailto:support@anywaysoft.com
Xodo Technologies Inc.,Xodo - PDF Reader & Editor,2014-01-30T02:22:04.7679846Z,https://feedback.xodo.com/support/home
Microsoft Corporation,Power BI,2015-03-03T09:08:00.3308335Z,http://go.microsoft.com/fwlink/?LinkId=529075
"Trello, Inc.",Trello,2016-12-21T21:02:12.2070516Z,http://help.trello.com/
Zoho Corp,Free Invoice Generator,2016-03-11T11:49:04.5186774Z,mailto:support+invgenerator@zohoinvoice.com
Diligent Corporation,Diligent Boards,2014-04-02T23:25:45.9829974Z,
Hub Academy,Dropshipping with Shopify Full Course,2019-05-21T13:24:15.8101311Z,mailto:hacademe@gmail.com
MicroWater,Doc Opener For Sell,2017-09-01T01:13:06.3340022Z,
"AnywaySoft, Inc.",Any Doc to Pdf,2019-09-24T11:04:32.9628737Z,mailto:support@anywaysoft.com
HP Inc.,HP Enhanced Lighting,2020-10-16T15:32:24.5657623Z,https://support.hp.com/
OfficeHelp,Pdf Suiter -Open Find Print pdf,2017-11-29T02:16:48.9881901Z,
Hub Academy,Penny Stocks - Stock Market Full Investing Course,2018-08-27T09:30:46.7677549Z,
MAH Studio,TGJU,2018-04-03T20:09:40.8488858Z,mailto:mohsens22@outlook.com
Crowded Road,iFax: Send & Receive Fax App,2017-10-16T05:16:03.3662158Z,mailto:support@ifaxapp.com
CJSC Computing Forces,WebMoney Keeper [UWP],2018-07-05T17:04:14.1962071Z,
Hub Academy,"Guide: Resume Building, CV and Cover letter",2019-04-09T00:27:35.5678452Z,mailto:admin@academehub.com
SBX Studio,SBX Invoice,2018-10-11T09:20:06.8395901Z,mailto:support@sbxinvoice.com
Better courses,Write a Business Plan - Full Course,2019-05-30T02:19:01.6662195Z,mailto:yoannaaps@yahoo.com
Better courses,Oberlo Guide for Shopify Dropshipers,2020-01-07T12:25:00.9667525Z,
Saber Marandi,بانکدون,2015-03-06T11:25:38.177Z,mailto:marandisaber.dev@gmail.com
Yoav Fael - YOANNA,Forex Investment Course,2014-12-11T15:35:24.213Z,mailto:yoavfaeland@gmail.com
Key-Soft Plc,Invoice – BizXpert,2017-10-18T14:40:57.8973738Z,mailto:info@bizxpert.com
AvePoint Inc.,AvePoint Timeline for Microsoft® Dynamics CRM,2013-03-06T18:57:28.0785642Z,http://www.avepoint.com/community/discussion/forum/avepoint-timeline-for-microsoft-dynamics-crm/
LAT,Quicksale Free,2015-03-18T16:00:35.507Z,mailto:latvtd@yahoo.com.vn
Delaire Damien,Task Manager Free,2013-01-15T02:33:15.7585195Z,http://damiendelaire.com/privacy/taskmanager
AppSplice,getHired Free,2012-05-30T02:06:38.077Z,
WHNC,Doc Write,2017-07-27T16:56:20.0083003Z,
salesforce.com,Salesforce Chatter,2017-05-09T23:13:40.7228057Z,mailto:sf.chatter.feedback@salesforce.com
Ally Financial Inc.,Ally Mobile,2014-02-05T13:04:40.647Z,http://www.ally.com/contact-us
Splashtop Inc.,Splashtop Personal - Remote Desktop,2013-03-05T00:00:00Z,https://support-splashtoppersonal.splashtop.com/home
Moon Technolabs Pvt. Ltd.,Moon Invoice - Free Invoicing & Estimate Maker,2014-04-23T21:23:52.6185897Z,mailto:support@mooninvoice.com
HOUSATONIC SOFTWARE INC.,Project Plan 365,2014-02-07T21:47:48.2652215Z,mailto:contact@housatonic.com
IM7,Accounting Dictionary Pro,2018-01-30T22:42:40.0248883Z,mailto:freeapps0007@gmail.com
Stimulsoft Ltd,Stimulsoft Designer,2013-01-28T12:36:39.8456458Z,mailto:support@stimulsoft.com
Zoho Corp,Zoho Invoice - Free Invoicing for Businesses,2014-07-09T13:05:15.717Z,mailto:support+mobile@zohoinvoice.com
Novaux Inc,Sabor POS,2015-06-12T01:38:42.872939Z,mailto:javier@saborpos.com
Forbes Media LLC,Forbes Media,2014-06-05T23:39:44.3503917Z,http://www.forbes.com/fdc/contact.html
IPT INTERNATIONAL TECHNOLOGIES CORPORATION,IPT Point Of Sale,2017-09-09T00:19:55.354764Z,https://iptpos.com/usstore/contact
Aidaluu Inc.,All My Invoices - Invoice Maker,2020-11-30T19:19:35.1048914Z,https://www.aidaluu.com/TouchBase.html
Softros Systems,Softros LAN Messenger,0001-01-01T00:00:00,https://www.softros.com/support/
Ounce Digital,Eclipse Manager,2014-09-04T04:00:27.9935021Z,mailto:info@eclipsemanager.com
Microsoft Corporation,Power Apps,2021-11-11T09:07:55.4763283Z,
ICSA Boardroom Apps Limited,BoardPad,2013-06-27T04:31:19.2378163Z,mailto:support@boardpad.com
"PDF Technologies, Inc.",PDF Reader Pro - PDF Editor & PDF Converter,2019-01-08T17:41:02.4278736Z,mailto:support@pdfreaderpro.com
Amplify Ventures,Fax App - Send Fax & Receive Faxes,2020-07-17T14:59:45.6514134Z,mailto:support@ifaxapp.com
KANRAD TECHNOLOGIES INC.,KanTime ICE,2015-01-30T21:35:01.4886715Z,http://www.kantime.com
Mediabyte Software,Mediabyte Whiteboard,2017-05-08T21:01:29.4689469Z,
Define Studio,Nextpad : Notepad and Markdown Editor,2016-04-30T10:18:31.4909196Z,mailto:definestudio@outlook.com
Aphalina,Grapholite Diagram,2013-02-22T07:17:28.5565005Z,https://grapholite.com/Contact
HP Inc.,HP Anywhere,2014-01-01T00:00:00Z,http://www8.hp.com/us/en/contact-hp/contact.html
"PDF Technologies, Inc.",PDF Reader Pro - Edit & Convert,2019-11-25T11:37:59.0454307Z,mailto:support@pdfreaderpro.com
Security Internet Develop,Universal Email App - Mail for All Mailbox,2019-02-27T00:52:14.6185926Z,mailto:jingzhounewcom412@hotmail.com
Resco,Resco Mobile CRM,2012-11-15T16:06:31.0095664Z,mailto:mobilecrm@resco.net
Cisco Systems,AnyConnect,2014-04-10T14:00:28.48Z,mailto:ac-mobile-feedback@cisco.com
Zoho Corp,Zoho Books - Accounting Software for Businesses,2014-04-29T05:46:43.5887383Z,mailto:support+mobile@zohobooks.com
HeadHunter,HeadHunter,2012-03-02T13:06:53.153Z,mailto:wp.support@hh.ru
Microsoft Corporation,Microsoft Dynamics Time Management,2015-06-03T20:28:53.6586944Z,http://www.microsoft.com/en-us/dynamics/support.aspx
Simple SolutionS JSC,S3 POS,2013-05-09T10:34:42.9781845Z,
Microsoft Corporation,Microsoft Dynamics Business Analyzer,2013-01-18T21:14:57.6635843Z,http://www.microsoft.com/en-us/dynamics/support.aspx
Security Internet Develop,HD Video Downloader For Internet,2019-01-09T20:42:42.2265765Z,mailto:jingzhounewcom412@hotmail.com
DIDWW,call.center,2017-04-27T21:40:43.924647Z,mailto:feedback@call.center
ConnectCode,Invoice 360,2012-11-09T08:37:59.9612181Z,mailto:support@invoicesoftware360.com
Vinod Seta,Invoice Master,2016-06-25T15:44:57.6010414Z,mailto:mastertechnolabs@gmail.com
Citrix,ShareFile,2012-12-21T08:42:33.2362121Z,https://www.sharefile.com/support
CompaNova LLC,Twin Cities Chess Club,2015-04-07T19:15:21.197Z,mailto:tccc@companova.com
APG Solutions LLC,Отслеживать Мой Пробег,2013-01-30T07:00:31.3666794Z,http://trackmymileage.net/blog/Windows8/
